"","ID","Name","Stars","Longitude","Latitude","City","State","Reviews","Address","Breakfast","Lunch","Dinner","Dessert","TakeOut"
"1","8buIr1zBCO7OEcAQSZko7w","Firefly",4.5,-115.1546953,36.1185522,"Las Vegas","NV",1352,"3900 Paradise Rd
Eastside
Las Vegas, NV 89169","False","False","True","False","True"
"2","25JT5gNeZ782lP1cHTbKFg","Modern Burger",3.5,-112.0069893,33.4354634,"Phoenix","AZ",96,"3400 E Sky Harbor Blvd
Phoenix, AZ 85034","False","True","False","False","True"
"3","VEgWDEC0JY7gucB_xtOCRA","Klondike Resto-bar Grill & Supper Club",2,-73.9517452,45.4034295,"Sainte-Anne-de-Bellevue","QC",9,"100 Rue Sainte Anne
Sainte-Anne-de-Bellevue, QC H9X 1N1","False","True","False","False","True"
"4","HsRPbMlpFNOlIQHSqF1X0A","Crêperie Bretonne Ty-Breiz",3.5,-73.5750279,45.5250965,"Montréal","QC",12,"933 Rue Rachel E
Montréal, QC H2J 2J2","False","False","False","False","True"
"5","IOWc8aOdw3ej9uYnu2TDGw","Trattoria Trestevere",4.5,-73.5749378,45.4969853,"Montreal","QC",4,"1237 Crescent Rue
Montreal, QC H3G 2B1","False","False","True","False",""
"6","pAu8UuWTLTLai61TW8-tZw","Pei Wei",3.5,-112.3643087,33.6385585,"Surprise","AZ",50,"14155 W Bell Rd. Suite 113
Surprise, AZ 85374","False","True","False","False","True"
"7","sCv1wUWJhFmQEMw3A4lwXQ","Wong's Restaurant",4,-112.287703,33.4942832,"Phoenix","AZ",48,"10540 W Indian School Rd
Phoenix, AZ 85037","False","True","False","False","True"
"8","0InQd9vuhRc98OksC3Ks8Q","Buffet Roundtable",2,-115.17564062,36.0988783486,"Las Vegas","NV",187,"Excalibur Hotel Casino
3850 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109","True","False","True","False","False"
"9","rGvkljWlP7ysvLEUucoyqA","Zaytoon Mediterranean Market and Kabob",4.5,-115.279439,36.1238755,"Las Vegas","NV",156,"3655 S Durango Dr
Ste 11-14
Spring Valley
Las Vegas, NV 89147","False","True","False","False","True"
"10","r-8wS4RTfRJtWM0DvdaCtQ","Peter Piper Pizza",3.5,-112.0823702,33.4884218,"Phoenix","AZ",11,"3403 N 7th Ave
Phoenix, AZ 85013","False","True","False","False","True"
"11","qf5lzhvdMcdVkuow7dnO3w","Osaka Japanese Bistro",3.5,-115.100421,35.994108,"Henderson","NV",110,"10920 S Eastern Ave
Anthem
Henderson, NV 89052","False","False","False","False","True"
"12","5dUDkaxm5FdQanoNkP86KQ","Suruchi Resturant",4,-3.18562856191,55.9468255876,"Edinburgh","MLN",18,"14a Nicolson Street
Newington
Edinburgh EH8 9DH","False","False","True","False","True"
"13","AYeeWujHF-va8vJME8Qxgg","Zoës Kitchen",3.5,-80.834647,35.212913,"Charlotte","NC",88,"1055 Metropolitan Ave
Ste 110
Myers Park
Charlotte, NC 28204","False","True","False","False","True"
"14","Nf2Vj8R6So6_jeX-YhAdJA","Coyote's Cafe & Cantina",3.5,-115.078507,36.071441,"Henderson","NV",84,"4350 E Sunset Road
Henderson, NV 89014","False","True","True","False","True"
"15","V49TGT1rEp0SIytUFEJctw","Grange Vin et Bouffe",3.5,-73.5557017,45.4995671,"Montréal","QC",21,"120 Rue McGill
Montréal, QC H2Y 2E5","False","False","False","False","False"
"16","51my4foYR2Xs1stK5idzyQ","Dairy Queen",2,-115.2822117,36.3027192,"Las Vegas","NV",22,"7785 N Durango Dr
Ste 100
Centennial
Las Vegas, NV 89131","","","","","True"
"17","aRaeSj5VgiNx78qHuGGNNA","Crêpe Cellar",4,-80.805909,35.246722,"Charlotte","NC",198,"3116 N Davidson St
NoDa
Charlotte, NC 28205","False","True","True","False","True"
"18","R_D1Yg54sRfkGWxgFkel2Q","Cracker Barrel Old Country Store",3.5,-80.717679,35.13811,"Charlotte","NC",30,"9330 E Independence Blvd
Charlotte, NC 28105","True","False","False","False","True"
"19","DAIBZ-I6i5wEUsxEolzXBA","Chick-fil-A",4.5,-112.232676,33.635898,"Peoria","AZ",65,"16657 N 83rd Ave
Peoria, AZ 85382","True","True","True","False","True"
"20","ZFxUzyUMq7FQTewgDGO9IA","Apollo Restaurant",2.5,-73.5706515,45.50375,"Montréal","QC",7,"1333 University
Montréal, QC H3A 1T9","","","","",""
"21","zp713qNhx8d9KCJJnrw1xA","La Santisima Gourmet Taco Shop",4.5,-112.047393,33.469201,"Phoenix","AZ",603,"1919 N 16th St
Phoenix, AZ 85006","False","True","False","False","True"
"22","LxxmtHFNZ5S-MyhykoE4Sg","Wendy's",4,-115.2896481,36.1595332,"Las Vegas","NV",18,"8900 W Charleston Blvd
Westside
Las Vegas, NV 89117","False","False","False","True","True"
"23","x_S72g72or0n_B8XeznS3A","Shane's Rib Shack",3,-111.964138,33.317906,"Chandler","AZ",5,"7131 W Ray Rd
Chandler, AZ 85226","False","True","False","False","True"
"24","R-aDr2HjBAHR3FoL2Dtd5Q","Sonic Drive-In",3.5,-111.8444611,33.3937162,"Mesa","AZ",12,"618 W Southern Ave
Mesa, AZ 85210","True","True","False","True","True"
"25","cWgPXQCUe_nu7bqQ9nl7hA","Popeyes",3.5,-115.2510793,36.2393882,"Las Vegas","NV",18,"7181 W Craig Rd
Northwest
Las Vegas, NV 89129","False","False","False","False","True"
"26","n18yM8ba7fF6MajqejxLJA","Pho Bang New York",3.5,-73.5593259,45.5079111,"Montreal","QC",93,"1001 Boulevard Saint-Laurent
Montreal, QC H2Z 1J4","False","True","True","False","True"
"27","pHBQ-dQRwN3z7Rq7iSog-A","Pizza Hut",1.5,-89.299749,43.084614,"Madison","WI",6,"4762 Cottage Grove Rd
Rolling Meadows
Madison, WI 53716","","","","","True"
"28","42SfghMoEXF-EYki2mrn8w","Thai Pepper Restaurant",3.5,-115.1552346,36.1446039,"Las Vegas","NV",79,"2226 Paradise Rd
The Strip
Las Vegas, NV 89104","False","False","True","False","True"
"29","t719u5GZY0yPX4U7t5whrg","McAlister's Deli",3.5,-80.824258,35.116099,"Charlotte","NC",6,"4130 Carmel Road
Charlotte, NC 28226","False","True","False","False","True"
"30","cmtEIXBh4OopFgRrd9tomw","Pizza Hut",3.5,-112.0154694,33.3048059,"Phoenix","AZ",3,"3145 E Chandler Blvd
Phoenix, AZ 85048","","","","","True"
"31","Fu-ske3UIS_d8w3A2gwE1Q","Casa Mia",4,-111.7868921,33.5911573,"Scottsdale","AZ",8,"11485 N 136th St
Scottsdale, AZ 85259","","","","","True"
"32","67gi179fNUkU5sApNTcrMg","Peppersauce Cafe",4,-111.996111,33.412592,"Phoenix","AZ",55,"3937 E Anne St
Phoenix, AZ 85040","False","True","False","False","True"
"33","TgxDGx7L_JICWbuBUCGVqw","Fajitas A Sizzlin Celebration",3.5,-112.1162617,33.5764031,"Phoenix","AZ",144,"9841 N Black Canyon Hwy
Phoenix, AZ 85021","False","True","True","False","True"
"34","PZHO5bdgz26ddon8sV02AQ","Pizza Hut",3,-112.2017527,33.6706186,"Glendale","AZ",6,"20229 N 67th Ave
C-10
Glendale, AZ 85308","False","False","False","False","True"
"35","fIgdMuoK7msC_68arzVV8w","Sweet Basil and La Filipiniana",5,-79.951942,40.482705,"Pittsburgh","PA",4,"5321 Butler St
Lawrenceville
Pittsburgh, PA 15201","False","False","False","False","False"
"36","IT4_iHuLkHBVl8gcKvL5qw","Casa do José",4.5,8.4069024,49.005811,"Karlsruhe","BW",5,"Kriegsstraße 92
76133 Karlsruhe","False","False","False","False","False"
"37","2ReHBO99CCJjzVqto9Mfkw","Euro-Deli Batory",5,-73.600227,45.5244244,"Montreal","QC",9,"115, Rue Saint-Viateur Ouest
Montreal, QC H2T 2L2","False","True","False","False","True"
"38","u0Z0OwRYbwknE5Pr_CJhnw","China One",3.5,-115.285732,36.289679,"Las Vegas","NV",91,"7080 N Durango Dr
Ste 130
Centennial
Las Vegas, NV 89149","False","True","True","False","True"
"39","EUqCIk70-jb8BKKKfP2wQA","M sur Masson",4.5,-73.5749549,45.5478165,"Montreal","QC",12,"2876 rue Masson
Montreal, QC H1Y 1W9","False","False","False","False","False"
"40","KmrWIaomwSgQm6uWPNt3oA","Foxcroft Wine Co",4,-80.809042,35.1474555,"Charlotte","NC",27,"7824 Fairview Rd
South Park
Charlotte, NC 28226","False","False","True","False","False"
"41","VzoxQsAAnpWXm5TSAHZnbw","Q's Diner",3.5,-80.734594,35.137223,"Charlotte","NC",10,"1816 Galleria Blvd
Ste D
Charlotte, NC 28270","True","True","True","False","True"
"42","85mj0eX_C2wKCSSaqO1w4Q","Axxio Pizza",2.5,-111.924088,33.424281,"Tempe","AZ",16,"2000 E Rio Salado Pkwy
Tempe, AZ 85281","False","True","False","False","True"
"43","44LXMxCJo1tqmCpVq_cwbQ","Benjarong Authentic Thai Cuisine",3.5,-115.2795528,36.0533813,"Las Vegas","NV",99,"7425 S Durango Dr
Ste 101
Southwest
Las Vegas, NV 89113","False","True","True","False","True"
"44","dT_epUexjLh7s7fTCy_cNw","Stone Pepper's Grill Bar",3,-80.051104,40.352496,"Pittsburgh","PA",18,"1614 Washington Rd
Pittsburgh, PA 15241","False","False","True","False","True"
"45","4VqkjcY6OUJt7atNyv-1xw","Sing Thai",4.5,-3.20643822861,55.9578392754,"Edinburgh","EDH",4,"42 St Stephen Street
Stockbridge
Edinburgh EH3 5AL","False","False","False","False","True"
"46","0jkZZRywo3wlmZcuCFbSEg","Macayo Vegas",3.5,-115.1272238,36.158865,"Las Vegas","NV",24,"1741 E Charleston Blvd
Downtown
Las Vegas, NV 89104","False","True","False","False","True"
"47","RbThUOAzsx7am1xaft29zg","Antonio's Pizza",4,-88.229611,40.110082,"Champaign","IL",57,"619 E Green St
Champaign, IL 61820","False","True","False","False","True"
